	Names
	huey,hy
b	abbe,abbey,abbi,abbie,abby,bab,bea,beau,bebe,bee,bo,bobbi,bobbie,bobby,eba,ebba,ibbie,ibby,abe,aub,aube,bay,bob,bubba,obie
bc	becca,boyce
bck	becka,becki,beckie,becky,beck,buck,bucky
bd	biddy,boyd,bud,buddy,obadiah
bdgt	bidget
bdl	abdel,abdul,abdullah
bdlkrm	abdulkarim
bds	obadias
bf	buffy,biff
bfrt	beaufort
bgdn	bogdan
bgl	abagael,abagail,abigael,abigail,abigale
bgrt	bogart
bjrn	bjorn,bjorne
bk	bekki
bl	beilul,bel,belia,bell,bella,belle,beulah,bill,billi,billie,billy,abel,bailey,bailie,baillie,baily,beale,bealle,bela
blc	belicia
bldwn	baldwin
blk	blake
blkl	blakelee,blakeley
blm	bellamy
bln	bellina,blinni,blinnie,blinny,blaine,blayne
blnc	bellanca,blanca,blanch,blancha,blanche
blnd	belinda,blondie,blondy
blndl	blondell,blondelle
blr	blair,blaire,blare
blrd	abelard
bls	bliss,blisse
blt	belita,blithe,blythe
blv	belva,belvia
bmb	bambi,bambie,bamby
bn	aubine,benni,bennie,benny,binni,binnie,binny,bobina,bobine,bonnee,bonni,bonnie,bonny,bunni,bunnie,bunny,ebonee,ebony,ben,benn,eben
bnc	bianca
bncrft	bancroft
bndct	benedicta,benedict
bndkt	benedikta
bndt	bendite,benedetta
bnfc	boniface
bng	bing
bngt	bengt
bnj	benji,benjie,benjy
bnjmn	benjamen,benjamin
bnk	bianka,binky
bnr	abner
bnsn	benson
bnsr	ebeneser
bnt	benetta,benita,benoite,bobinette,bonita,benito,bennet,bennett
bntl	bentley
bntn	benton
bnzr	ebenezer
br	abra,aubree,aubrey,aubrie,aubry,babara,bari,barrie,barry,berri,berrie,berry,brea,brear,bree,bria,brier,barr,barri,bary,bear
brb	barb,barbe,barbee,barbey,barbi,barbie,barby
brbr	barbabra,barbara,barbra
brbrn	barbara-anne,barbaraanne
brbs	barbabas
brbt	barbette
brc	brice,bruce,bryce
brck	brock
brcl	barclay
brctld	berchtold
brd	bird,birdie,bride,bridie,baird,bard,barde,bayard,brad,brady,broddie,broddy,brodie,brody,eberhard
brdfrd	bradford
brdgt	bridget,bridgett,bridgette
brdl	bradley,bradly
brdn	braden
brdrc	broderic
brdrck	broderick
brgd	brigid,brigida
brgrd	beauregard
brgs	briggs,burgess
brgt	berget,birgit,birgitta,brigit,brigitta,brigitte
brk	brook,brooke,berk,berke,berkie,burke
brkl	berkeley,berkley
brks	brooks
brl	beryl,beryle,burl
brm	abraham,abram,byram,ibrahim
brn	berna,berni,bernie,berny,brana,breanne,breena,bren,brena,brenn,brenna,briana,brianna,brianne,brina,briney,briny,bryana,bryn,bryna,brynn,brynna,brynne,barn,barney,barnie,barny,baron,barron,brian,bruno,bryan,bryon,byron,oberon
brnb	barnabe,barnaby,burnaby
brnbs	barnabas,barnebas
brnc	berenice,bernice
brnd	brande,brandea,brandi,brandie,brandy,brenda,bernd
brndc	brandice
brndn	bernadene,bernadina,bernadine,brandon,brendan
brnds	brandais,brandise
brndt	bernadette
brnkl	brinkley
brnl	bernelle,brunella
brnld	brunhilda,brunhilde
brnrd	barnard,bearnard,bernard,bernardo,bernhard
brnrdn	bernardina,bernardine
brnsn	bronson
brnt	bernete,bernetta,bernette,bernita,barnett,brant,brent,bryant
brs	barris,boris
